Mickey,Mouse,123978,mmouse@mines.edu,student,python,c/c++,java,soc,comp,idc
Donald,Duck,444321,dduck@mines.edu,student,c/c++,java,python,soc,comp,idc
Jane,Jetson,999777,jjetson@mines.edu,student,c/c++,java,python,idc,soc,comp
Frodo,Baggins,555123,fbaggins@mines.edu,student,java,python,c/c++,comp,soc,idc
Bilbo,Baggins,988777,bbaggins@mines.edu,student,python,c/c++,java,idc,comp,soc
Winnie,Poohbear,478234,pbear@mines.edu,student,java,c/c++,python,comp,idc,soc
Daffy,Duck,120978,daduck@mines.edu,student,python,java,c/c++,idc,comp,soc
Wile,Coyote,409123,wcoyote@mines.edu,student,java,c/c++,python,soc,comp,idc
Road,Runner,128745,rrunner@mines.edu,student,c/c++,java,python,comp,idc,soc
Marge,Simpson,765120,msimpson@mines.edu,student,c/c++,python,java,soc,idc,comp
Charlie,Brown,876123,cbrown@mines.edu,student,c/c++,java,python,comp,soc,idc
Lucy,VanPelt,333221,lvanpelt@mines.edu,student,java,python,c/c++,comp,soc,idc
Bugs,Bunny,752412,bbunny@mines.edu,student,python,c/c++,java,soc,comp,idc
Betty,Boop,532109,bboop@mines.edu,student,java,python,c/c++,comp,soc,idc
Lois,Griffin,223311,lgriffin@mines.edu,student,python,java,c/c++,soc,idc,comp
Wilma,Flintstone,443322,wflintstone@mines.edu,student,java,c/c++,python,soc,comp,idc
Fred ,Flintstone,443311,fflintstone@mines.edu,student,python,c/c++,java,soc,comp,idc
Peppa,Pig,784512,ppig@mines.edu,student,c/c++,python,java,soc,idc,comp
Turanga,Leela,834215,leela@mines.edu,student,java,python,c/c++,soc,idc,comp
Sylvester,Cat,920451,scat@mines.edu,student,python,c/c++,java,comp,idc,soc
Felix,Cat,375621,fcat@mines.edu,student,java,c/c++,python,soc,idc,comp
Top,Cat,781234,tc@mines.edu,student,python,java,c/c++,comp,soc,idc
Scooby,Doo,392875,scooby@mines.edu,student,python,c/c++,java,comp,soc,idc
Porky,Pig,123654,porky@mines.edu,student,python,java,c/c++,idc,soc,comp
Garfield,Cat,387612,garfield@mines.edu,student,c/c++,java,python,idc,soc,comp
Peter,Pan,982765,pan@mines.edu,student,c/c++,java,python,soc,idc,comp
Foghorn,Leghorn,762341,fleghorn@mines.edu,student,c/c++,java,python,soc,comp,idc
Manning, Peyton,772233,pmanning@mines.edu,student,c/c++,java,python,soc,idc,comp
Green,Virgil,123456,vgreen@mines.edu,student,python,c/c++,java,comp,idc,soc
Thomas,Julias,123457,jthomas@mines.edu,student,python,java,c/c++,soc,idc,comp
Sanders,Emmanuel,123458,esanders@mines.edu,student,python,java,c/c++,idc,soc,comp
Tamme,Jason,123569,jtamme@mines.edu,student,java,c/c++,python,idc,soc,comp
Knighton,Terrance,123450,tk@mines.edu,student,java,python,c/c++,comp,idc,soc
Colquitt,Britton,98765,bcol@mines.edu,student,c/c++,java,python,soc,idc,comp
Roby,Bradley,98764,broby@mines.edu,student,c/c++,python,java,comp,idc,soc
Ward,T.J.,98763,tjward@mines.edu,student,c/c++,java,python,soc,comp,idc
Ware,DeMarcus,98762,dware@mines.edu,student,python,java,c/c++,soc,comp,idc
Webster,Kayvon,98761,kw@mines.edu,student,java,python,c/c++,comp,idc,soc
